time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
1.440000000000000036e+01,5.944176856028741129e-01,4.441270136795855694e-01,2.262327947509349402e-01,2.809295843983471430e-01,7.407055944038522331e-04,2.795431007553864783e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.450000000000000000e+01,6.233956886132192565e-01,4.444572944485824517e-01,2.296925465885688578e-01,2.956409904955054624e-01,-5.427807607617249688e-04,3.631203533828564894e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.460000000000000142e+01,6.505887285081206617e-01,4.434467685212940546e-01,2.323560774693257669e-01,2.545099541691537848e-01,1.372391718135895951e-03,3.820964253787856313e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.470000000000000107e+01,6.766979634711296487e-01,4.426228770490891473e-01,2.365108145973340292e-01,2.638768121766042474e-01,-1.864043770733133515e-02,4.080901517094016190e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.480000000000000071e+01,7.029576133020591922e-01,4.422345268307101285e-01,2.408904493093263210e-01,2.482264220280916145e-01,9.253545326629256801e-04,3.093841871503722959e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.490000000000000036e+01,7.285501016088490323e-01,4.424092021367758143e-01,2.442795325558704267e-01,2.369074448741959604e-01,1.419954190436339189e-03,3.956822005361636946e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.500000000000000000e+01,7.547641965981048973e-01,4.431071897156870776e-01,2.482448209964568109e-01,2.976303867747148169e-01,-2.161184658998564941e-03,4.567958565790181807e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.510000000000000142e+01,7.842973441680223257e-01,4.428042169132163641e-01,2.525628591876041829e-01,2.679261238111814158e-01,-9.719996499667718504e-03,3.228371535857580549e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.520000000000000107e+01,8.114204990248625737e-01,4.423114200580684496e-01,2.560491691328191100e-01,2.745639319391217081e-01,1.432564473924461193e-03,4.300879350346827057e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.530000000000000071e+01,8.412443723736278134e-01,4.428751364979621186e-01,2.597305953530872902e-01,3.104033441505675284e-01,3.443870648480613743e-03,3.411861807226729965e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.540000000000000036e+01,8.722131295472048684e-01,4.432300278833152807e-01,2.617811087955289051e-01,2.997703999228230609e-01,-1.077094456098337538e-02,7.178918056183569360e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.550000000000000000e+01,9.047707153328556906e-01,4.422302746675267904e-01,2.621111943326790983e-01,3.278814778659491780e-01,-6.846304169979029221e-03,8.670378602534167811e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.560000000000000142e+01,9.401416869151315581e-01,4.404027629707941704e-01,2.622825734275257559e-01,3.776013126010843712e-01,-2.530277845583788626e-02,1.611266037063340331e-02,5.000000000000000278e-02,1.000000000000000000e+00
